asset_id,asset,class,status,current_evidence_or_basis,primary_dependencies,current_gate_or_next,governance_state
TGCV-CORE-001,Current TGCV architecture,scientific-foundational,FOUNDATIONAL,Core=S; T_acc=F(S,C,L); DeltaT_acc; downstream chain,TR-131;SLR;translation protocol,None,STABLE
TGCV-TR131-001,TR-131 real execution,empirical-structural,CLOSED,Bounded Rust structural evidence; scientific integration,DR-031;DR-032,No rerun required,CLOSED
TGCV-RUST-DYN1-001,RUST-DYN-1 EXEC-1,empirical-dynamic,CLOSED,516061-pair Rust dynamic result; bounded operationalization,DR-035;DR-037,No reuse without explicit trace,CLOSED
TGCV-RUST-DYN2-001,RUST-DYN-2 EXEC-1A,empirical-structural,CLOSED,ND1/ND2/ND4; 516061 pairs; mandatory replay,DR-043;DR-042;DR-035,No rerun; evidence integrated,CLOSED
TGCV-CLAIM-001,Evidence-to-Claim Matrix Post-DOPS23,governance-control,CURRENT,C01-C16 current claim/evidence states,D-OPS-21;D-OPS-22;D-OPS-23,Maintain after every accepted substantive change,CURRENT
TGCV-DOPS-15-20,External-domain discovery chain,governance-scientific,CLOSED,No execution-ready independent domain identified,D-OPS-15..20,D-OPS-24 remains blocked until RMA consistency,CLOSED
TGCV-DOPS21-001,D-OPS-21 originality audit,scientific-gate,CLOSED,High local redundancy; originality claim weakened,SLR-1;architecture,D-OPS-22 historical next,CLOSED
TGCV-DOPS22-001,D-OPS-22 translation non-redundancy,scientific-gate,CLOSED,Bounded translational non-redundancy; superiority unproved,D-OPS-21,D-OPS-23 historical next,CLOSED
TGCV-DOPS23-001,D-OPS-23 translation protocol,scientific-gate,FROZEN,Minimal protocol and information-preservation invariants,D-OPS-22,D-OPS-24 next after consistency,FROZEN
TGCV-DOPS24-001,D-OPS-24 translation conformance,scientific-gate,BLOCKED,Not started; governance chain must close first,D-OPS-23;RMA;STATUS,Open only after consistency audit,BLOCKED
TGCV-DR044-001,DR-044 RMA reconciliation,governance,ACCEPTED,Confirmed stale RMA/STATUS propagation defect,Historical RMA;STATUS;claim matrix,RMA consistency closure,ACCEPTED
TGCV-EXT-VP-001,Vision Paper,external-scientific,WORKING,Must derive from current architecture and current claim state,Core;SLR;claim matrix,Update when external revision resumes,DEPENDENT
TGCV-EXT-RP-001,Research Prospectus,external-scientific,WORKING,Must derive from current architecture and current claim state,VP;TCP;claim matrix,Update when external revision resumes,DEPENDENT
TGCV-EXT-ARM-001,ARM,external-applied,WORKING,Must preserve scientific/methodological boundary,TCP;Core;claim matrix,Update when applied layer resumes,DEPENDENT
TGCV-EXT-RII-001,RII,external-scientific-applied,WORKING,Must preserve evidence hierarchy,ARM;TCP;claim matrix,Update when applied layer resumes,DEPENDENT
TGCV-EXT-MOI-001,Industrial Opportunities Map,external-applied,WORKING,Domain portfolio must reflect current discovery constraints,ARM;RII;D-OPS discovery,Review after domain-search closure,DEPENDENT
TGCV-MET-SIP-001,SIP,methodological,WORKING,Operating/prioritization layer,RMA;Programme OS,Reconcile to current propagation rule,DEPENDENT
TGCV-MET-PMO-001,PMO-SMO,methodological-governance,WORKING,Coordination/control layer,Programme OS;RMA,Reconcile to current propagation rule,DEPENDENT
TGCV-MET-SDM-001,Scientific Discovery Methodology,methodological,PROPOSED,Not yet formalized as current canonical asset,SIP;PMO;history,No promotion without explicit decision,PROPOSED
TGCV-SLR-001,SLR-1 literature/evidence assets,scientific-gate,WORKING,Prior-art absorption and comparative architecture,Core;claim matrix,D-OPS-21/22/23 integrated,DEPENDENT
