asset_id,asset_type,status,canonical_location,depends_on,notes
TGCV-CORE-001,scientific_core,CURRENT,01_SCIENTIFIC_CORE/,TR131;DOPS21;DOPS22;DOPS23;C-01,Core unchanged
CLAIM-MATRIX,current_claim_control,CURRENT,00_GOVERNANCE/EVIDENCE_TO_CLAIM_MATRIX_CURRENT.md,EXT-UPD-4.3;EXT-UPD-4.5;EXT-UPD-4.6;EXT-UPD-4.8;EXT-UPD-4.9,D-OPS-24 result; no epistemic upgrade
D-OPS-24,gate,CLOSED-BOUNDED-SEARCH,00_GOVERNANCE/D-OPS-24_DIRECTED_DOCUMENTARY_ACCESSIBILITY_SEARCH_PROTOCOL_v0.1.md,EXT-UPD-4.9,Search completed; no documentary PASS
D-OPS-24-RESULT,result,CURRENT,00_GOVERNANCE/INDUSTRIAL_TRACK/D-OPS-24_DIRECTED_DOCUMENTARY_ACCESSIBILITY_SEARCH_RESULT_v0.1.md,D-OPS-24,Three domains INCONCLUSIVE; no IT-G1 candidate
D-OPS-24-IMPACT,governance_impact,CURRENT,00_GOVERNANCE/impact/D-OPS-24_EVIDENCE_CLAIM_IMPACT_ASSESSMENT_v0.2.md,D-OPS-24-RESULT,No scientific claim change
D-OPS-24-AUTHORIZATION-RECORD,authorization_record,HISTORICAL-CLOSED,00_GOVERNANCE/D-OPS-24_EXECUTION_AUTHORIZATION_RECORD_v0.1.md,D-OPS-24-IMPACT,Execution authorized and completed
RMA-v3.9,governance_master,CURRENT,00_GOVERNANCE/rma/TGCV_RMA_v3.9.md,D-OPS-24-RESULT,D-OPS-24 completed; no candidate admitted
RMA-current,pointer,CURRENT,00_GOVERNANCE/rma/TGCV_RMA_current.md,RMA-v3.9,Must point to v3.9
TRACEABILITY-current,pointer,CURRENT,00_GOVERNANCE/rma/TGCV_RMA_traceability_current.csv,RMA-current,Resolves to v3.9 traceability
PROPAGATION-WORKFLOW,governance_workflow,FROZEN,00_GOVERNANCE/workflows/CURRENT_STATE_PROPAGATION_AND_CONSISTENCY_WORKFLOW_v0.1.md,None,Atomic propagation rule operative
